com.samsung.health.exercise.distance,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.mean_heart_rate,sleep_duration,temperature_2m,relative_humidity_2m,sleep_score,mental_recovery
3.572,29.571,165.0,120.0,5.0,5.0,53.0,74.0
3.239,29.613,164.0,463.0,5.0,5.0,80.0,69.0
282.828,3.001,128.0,463.0,5.0,5.0,80.0,69.0
3.646,29.838,164.0,441.0,5.0,5.0,88.0,58.0
6717.55,23.9,149.0,370.0,5.0,5.0,80.0,83.0
6717.55,23.9,149.0,82.0,5.0,5.0,28.0,70.0
1.83,29.743,162.0,370.0,7.0,7.0,80.0,83.0
1.83,29.743,162.0,82.0,7.0,7.0,28.0,70.0
163.156,2.79,109.0,291.0,4.0,4.0,74.0,91.0
163.156,2.79,109.0,47.0,4.0,4.0,46.0,6.0
3.932,32.517,161.0,291.0,4.0,4.0,74.0,91.0
3.932,32.517,161.0,47.0,4.0,4.0,46.0,6.0
3.987,32.733,162.0,448.0,4.0,4.0,87.0,93.0
7.791,25.958,159.0,214.0,5.0,5.0,64.0,73.0
7.791,25.958,159.0,176.0,5.0,5.0,49.0,69.0
3.923,3.223,171.0,468.0,4.0,4.0,96.0,95.0
3786.0,31.378,170.0,472.0,5.0,5.0,80.0,85.0
3.776,31.253,172.0,361.0,5.0,5.0,73.0,91.0
3.568,29.943,164.0,538.0,7.0,7.0,77.0,93.0
2.824,3.104,167.0,439.0,5.0,5.0,74.0,80.0
3.787,31.353,167.0,389.0,5.0,5.0,79.0,84.0
898.718,29.971,154.0,470.0,4.0,4.0,92.0,95.0
3.337,3.062,167.0,450.0,4.0,4.0,87.0,93.0
3.757,31.146,164.0,288.0,4.0,4.0,74.0,90.0
3.79,3.129,170.0,324.0,5.0,5.0,67.0,73.0
1.89,30.777,158.0,348.0,7.0,7.0,66.0,78.0
1.89,30.777,158.0,83.0,7.0,7.0,55.0,45.0
3.795,3.119,172.0,456.0,4.0,4.0,85.0,79.0
3.795,3.119,172.0,213.0,4.0,4.0,59.0,73.0
3.747,3.122,169.0,244.0,4.0,4.0,41.0,64.0
3.747,3.122,169.0,115.0,4.0,4.0,33.0,37.0
3.768,31.342,168.0,202.0,5.0,5.0,67.0,85.0
3.768,31.342,168.0,236.0,5.0,5.0,52.0,75.0
3.768,31.342,168.0,188.0,5.0,5.0,63.0,81.0
2.882,31.417,164.0,390.0,4.0,4.0,76.0,85.0
5.364,30.732,176.0,335.0,5.0,5.0,80.0,91.0
5.364,30.732,176.0,111.0,5.0,5.0,34.0,53.0
2.518,31.908,159.0,28.0,4.0,4.0,46.0,5.0
3.873,3.189,163.0,281.0,5.0,5.0,61.0,76.0
3.873,3.189,163.0,159.0,5.0,5.0,30.0,30.0
3932.5,32.31,162.0,380.0,4.0,4.0,71.0,69.0
5.042,30.667,174.0,326.0,6.0,6.0,75.0,93.0
5.042,30.667,174.0,111.0,6.0,6.0,58.0,70.0
3.897,32.104,166.0,440.0,4.0,4.0,90.0,88.0
3965.75,32.295,162.0,250.0,4.0,4.0,33.0,18.0
3965.75,32.295,162.0,90.0,4.0,4.0,35.0,59.0
2.454,28.959,163.0,424.0,6.0,6.0,88.0,85.0
3.561,28.781,164.0,424.0,6.0,6.0,88.0,85.0
3796.25,31.096,171.0,392.0,7.0,7.0,65.0,71.0
2.772,31.327,181.0,362.6761133603239,7.0,7.0,68.5587044534413,66.57894736842105
