com.samsung.health.exercise.distance,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.mean_heart_rate,sleep_duration,temperature_2m,relative_humidity_2m,sleep_score,mental_recovery
385.054,2.094,140.0,449.0,7.0,7.0,68.0,79.0
1.812,2.533,171.0,449.0,7.0,7.0,68.0,79.0
357.093,19.065,115.0,449.0,7.0,7.0,68.0,79.0
99.515,20.397,128.0,515.0,7.0,7.0,79.0,65.0
1554.75,25.346,172.0,515.0,7.0,7.0,79.0,65.0
0.0,0.0,72.0,515.0,10.0,10.0,79.0,65.0
1.332,24.918,167.0,410.0,7.0,7.0,70.0,58.0
1.332,24.918,167.0,129.0,7.0,7.0,53.0,80.0
800.75,20.265,161.0,410.0,8.0,8.0,70.0,58.0
800.75,20.265,161.0,129.0,8.0,8.0,53.0,80.0
1.253,25.122,166.0,495.0,6.0,6.0,66.0,52.0
754.156,24.15,158.0,430.0,6.0,6.0,67.0,58.0
950.812,22.872,153.0,502.0,6.0,6.0,84.0,84.0
859.656,22.972,154.0,408.0,7.0,7.0,66.0,67.0
1.898,25.724,169.0,524.0,7.0,7.0,68.0,61.0
576.343,2.627,164.0,524.0,7.0,7.0,68.0,61.0
755.093,24.916,156.0,432.0,7.0,7.0,58.0,58.0
2.108,25.321,167.0,157.0,7.0,7.0,70.0,75.0
2.108,25.321,167.0,261.0,7.0,7.0,43.0,27.0
960.156,2.205,149.0,157.0,7.0,7.0,70.0,75.0
960.156,2.205,149.0,261.0,7.0,7.0,43.0,27.0
351.375,21.109,138.0,391.0,7.0,7.0,78.0,70.0
1.928,25.879,171.0,498.0,7.0,7.0,72.0,64.0
363.812,24.166,139.0,498.0,8.0,8.0,72.0,64.0
1.909,26.324,170.0,438.0,7.0,7.0,57.0,60.0
237.156,25.359,141.0,438.0,7.0,7.0,57.0,60.0
0.0,0.0,63.0,485.0,19.0,19.0,70.0,58.0
92.125,12.178,112.0,445.0,7.0,7.0,67.0,59.0
1.062,25.707,160.0,380.0,6.0,6.0,78.0,83.0
3.308,25.778,169.0,534.0,7.0,7.0,71.0,31.0
3.508,26.066,169.0,499.0,7.0,7.0,76.0,63.0
1.765,256.233,167.0,437.0,6.0,6.0,71.0,63.0
2.366,2.607,165.0,556.0,7.0,7.0,73.0,65.0
820.421,25.78,161.0,556.0,7.0,7.0,73.0,65.0
1.866,25.414,166.0,438.0,6.0,6.0,74.0,62.0
975.281,24.059,159.0,468.0,6.0,6.0,66.0,36.0
798.125,2.553,155.0,457.0,6.0,6.0,69.0,57.0
3.325,26.15,174.0,537.0,7.0,7.0,74.0,76.0
1.611,25.989,160.0,391.0,6.0,6.0,77.0,77.0
1.578,2.582,166.0,433.0,6.0,6.0,83.0,86.0
3171.14,26.215,174.0,317.0,7.0,7.0,59.0,47.0
3171.14,26.215,174.0,193.0,7.0,7.0,55.0,75.0
1.512,24.572,162.0,320.0,6.0,6.0,61.0,52.0
3.281,26.359,171.0,155.0,7.0,7.0,64.0,59.0
3.281,26.359,171.0,325.0,7.0,7.0,57.0,67.0
2.757,26.839,170.0,80.0,7.0,7.0,55.0,70.0
