Valor Real,Predição,Erro Absoluto
27621.0,2962048.4,2934427.4
5429415.0,2435953.8,2993461.2
3109282.0,2236794.8,872487.2000000002
1469795.0,1945937.4,476142.3999999999
1241290.0,2219087.8,977797.7999999998
4824755.0,3571789.6,1252965.4
2369960.0,2378555.0,8595.0
1423634.0,2532713.8,1109079.7999999998
3427007.0,3287436.2,139570.7999999998
1947296.0,3153696.8,1206400.7999999998
3778085.0,2236794.8,1541290.2000000002
3344411.0,2435953.8,908457.2000000002
2873590.0,3113187.4,239597.3999999999
3667285.0,3090425.6,576859.3999999999
2636142.0,2236794.8,399347.2000000002
1206672.0,3423183.2,2216511.2
1814045.0,1799914.2,14130.800000000047
3967673.0,3287436.2,680236.7999999998
22799.0,2236794.8,2213995.8
4216625.0,3363167.6,853457.3999999999
2239536.0,2378555.0,139019.0
5558278.0,3566732.4,1991545.6
1673948.0,2435953.8,762005.7999999998
2571863.0,2674164.2,102301.20000000019
6130615.0,1716361.8,4414253.2
2363772.0,1716361.8,647410.2
7025916.0,1281951.2,5743964.8
1790342.0,1799914.2,9572.199999999953
2297560.0,2204805.4,92754.6000000001
3663717.0,2236794.8,1426922.2000000002
2752245.0,2894787.8,142542.7999999998
3013694.0,2674164.2,339529.7999999998
2811292.0,2466134.0,345158.0
2508986.0,2687637.0,178651.0
2028895.0,2318902.0,290007.0
