Valor Real,Predição,Erro Absoluto
27621.0,210943.16,183322.16
5429415.0,4531607.84,897807.1600000001
3109282.0,3443307.16,334025.16000000015
1469795.0,1712102.76,242307.76
1241290.0,1797306.33,556016.3300000001
4824755.0,4568800.06,255954.9400000004
2369960.0,2422643.75,52683.75
1423634.0,1881445.89,457811.8899999999
3427007.0,3472257.74,45250.74000000022
1947296.0,2059815.49,112519.48999999999
3778085.0,3827863.1,49778.10000000009
3344411.0,3748589.62,404178.6200000001
2873590.0,2320335.42,553254.5800000001
3667285.0,3903766.93,236481.93000000017
2636142.0,2842494.43,206352.43000000017
1206672.0,1824075.2,617403.2
1814045.0,1890806.4,76761.3999999999
3967673.0,3997620.79,29947.790000000037
22799.0,291627.63,268828.63
4216625.0,3997112.29,219512.70999999996
2239536.0,2252312.16,12776.160000000149
5558278.0,4558809.77,999468.2300000004
1673948.0,1894986.34,221038.34000000008
2571863.0,2740386.02,168523.02000000002
6130615.0,4722119.99,1408495.0099999998
2363772.0,2396123.56,32351.560000000056
7025916.0,4726477.76,2299438.24
1790342.0,2046067.86,255725.8600000001
2297560.0,2700667.75,403107.75
3663717.0,3968513.18,304796.18000000017
2752245.0,3068663.9,316418.8999999999
3013694.0,3130531.62,116837.62000000011
2811292.0,2957966.44,146674.43999999994
2508986.0,2170857.33,338128.6699999999
2028895.0,2145571.0,116676.0
