Valor Real,Predição,Erro Absoluto
27621.0,2264947.5725266873,2237326.5725266873
5429415.0,2264947.28804411,3164467.71195589
3109282.0,2264945.64943015,844336.3505698498
1469795.0,2264945.0156494942,795150.0156494942
1241290.0,2264945.204585655,1023655.2045856551
4824755.0,2264947.1360235037,2559807.8639764963
2369960.0,2264942.4047963554,105017.5952036446
1423634.0,2264942.6638413128,841308.6638413128
3427007.0,2264947.507432932,1162059.492567068
1947296.0,2264947.5883672927,317651.58836729266
3778085.0,2264945.352734235,1513139.647265765
3344411.0,2264947.409566361,1079463.590433639
2873590.0,2264945.3503621006,608644.6496378994
3667285.0,2264945.6392242867,1402339.3607757133
2636142.0,2264945.451531151,371196.54846884916
1206672.0,2264946.9111331683,1058274.9111331683
1814045.0,2264941.624011441,450896.62401144113
3967673.0,2264947.388233728,1702725.6117662722
22799.0,2264945.350082712,2242146.350082712
4216625.0,2264947.0242668265,1951677.9757331735
2239536.0,2264942.471021749,25406.47102174908
5558278.0,2264947.073664823,3293330.926335177
1673948.0,2264947.4248396438,590999.4248396438
2571863.0,2264944.7267307537,306918.27326924633
6130615.0,2264943.8166104113,3865671.1833895887
2363772.0,2264943.1003560694,98828.8996439306
7025916.0,2264938.46856381,4760977.53143619
1790342.0,2264941.6145177204,474599.6145177204
2297560.0,2264942.067503623,32617.9324963768
3663717.0,2264945.830774818,1398771.169225182
2752245.0,2264947.6207983284,487297.3792016716
3013694.0,2264944.6825404176,748749.3174595824
2811292.0,2264943.5940769305,546348.4059230695
2508986.0,2264946.41882932,244039.58117068
2028895.0,2264939.4317234806,236044.43172348058
