Valor Real,Predição,Erro Absoluto
2873590.0,2425067.6,448522.3999999999
3667285.0,2547194.0,1120091.0
2636142.0,2709199.6,73057.6000000001
1206672.0,3121965.0,1915293.0
1814045.0,1799914.2,14130.800000000047
3967673.0,3251079.6,716593.3999999999
4216625.0,3288153.6,928471.3999999999
2239536.0,2471221.4,231685.3999999999
1673948.0,3070346.2,1396398.2000000002
2571863.0,2425067.6,146795.3999999999
2363772.0,2425067.6,61295.60000000009
1790342.0,1799914.2,9572.199999999953
2297560.0,2204805.4,92754.6000000001
3663717.0,2988819.0,674898.0
2752245.0,2908579.6,156334.6000000001
3013694.0,2425067.6,588626.3999999999
2811292.0,2466134.0,345158.0
2508986.0,3054326.6,545340.6000000001
2028895.0,2318902.0,290007.0
