Valor Real,Predição,Erro Absoluto
2873590.0,2319783.52,553806.48
3667285.0,3722955.05,55670.049999999814
2636142.0,2851681.75,215539.75
1206672.0,1569492.84,362820.8400000001
1814045.0,1868703.19,54658.189999999944
3967673.0,3933499.99,34173.00999999978
4216625.0,3886367.04,330257.95999999996
2239536.0,2230391.45,9144.549999999814
1673948.0,1762782.3,88834.30000000005
2571863.0,2663946.28,92083.2799999998
2363772.0,2374162.87,10390.870000000112
1790342.0,1887591.64,97249.6399999999
2297560.0,2660549.95,362989.9500000002
3663717.0,3788004.65,124287.6499999999
2752245.0,3064290.94,312045.93999999994
3013694.0,3169400.88,155706.8799999999
2811292.0,2920374.91,109082.91000000015
2508986.0,2196907.42,312078.5800000001
2028895.0,2027742.82,1152.1799999999348
