Valor Real,Predição,Erro Absoluto
2873590.0,2317329.3983947216,556260.6016052784
3667285.0,2317329.6273249346,1349955.3726750654
2636142.0,2317329.0838725856,318812.91612741444
1206672.0,2317330.4899436156,1110658.4899436156
1814045.0,2317325.5140504423,503280.51405044226
3967673.0,2317330.9565748014,1650342.0434251986
4216625.0,2317330.7472431916,1899294.2527568084
2239536.0,2317326.2801285083,77790.28012850834
1673948.0,2317331.0732657984,643383.0732657984
2571863.0,2317328.9106915635,254534.0893084365
2363772.0,2317327.6853623497,46444.31463765027
1790342.0,2317325.5055892467,526983.5055892467
2297560.0,2317325.9125940274,19765.91259402735
3663717.0,2317329.447569677,1346387.5524303229
2752245.0,2317331.2261985103,434913.77380148973
3013694.0,2317328.876486498,696365.1235135021
2811292.0,2317327.3217646093,493964.6782353907
2508986.0,2317330.0136227147,191655.98637728533
2028895.0,2317323.6952674366,288428.69526743656
