total_calorie,heart_rate_sample_count,com.samsung.health.exercise.duration,com.samsung.health.exercise.start_time,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.distance,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.end_time,temperature_x,humidity_x,wind_speed_x,data,hora,dataToJoin,sleep_duration,sleep_score,physical_recovery,mental_recovery,temperature,wind_speed,humidity,latitude,longitude,com.samsung.health.exercise.distance_2,volume_7d,duration_min,pace,pace_min_sec
631.0187,,2607095,2018-01-18 06:16:12.414,,,2.8502922,174.05772,,6800.0,631.0,181.6168,,2.6083622,2018-01-18 06:59:40.847,25.5,82.0,17.5,2018-01-18,06:16:12,2018-01-18,,,,,25.5,17.5,82.0,-22.8794415,-42.009363,68000.0,68000.0,43451.583333333336,6.389938725490197,6:23 min/km
455.57983,,2840138,2018-01-20 06:13:41.096,,,2.7149556,150.48227,,6070.0,455.0,190.81078,,2.1373239,2018-01-20 07:01:33.066,25.0,91.0,6.0,2018-01-20,06:13:41,2018-01-20,,,,,25.0,6.0,91.0,-22.881899,-42.009064,60700.0,128700.0,47335.63333333333,7.798292147171884,7:47 min/km
150.78531,,1825625,2018-01-21 07:16:19.217,,,1.6424619,116.00537,,2720.0,148.0,132.66515,,1.4912281,2018-01-21 07:49:04.305,26.0,83.0,5.0,2018-01-21,07:16:19,2018-01-21,,,,,26.0,5.0,83.0,-22.878582,-42.00911,27200.0,155900.0,30427.083333333332,11.18642769607843,11:11 min/km
716.46234,,3357867,2018-01-23 07:27:49.979,,,3.1061954,151.57695,,7710.0,714.0,174.7999,,2.2994332,2018-01-23 08:25:52.003,21.0,92.0,14.0,2018-01-23,07:27:49,2018-01-23,,,,,21.0,14.0,92.0,-21.784472,-43.36184,77100.0,233000.0,55964.45,7.258683527885863,7:15 min/km
761.18896,,3103471,2018-01-25 05:35:34.908,,,2.883831,158.69592,,7490.0,758.0,177.93037,,2.413793,2018-01-25 06:29:58.032,19.0,92.0,10.0,2018-01-25,05:35:34,2018-01-25,,,,,19.0,10.0,92.0,-21.785292,-43.3623,74900.0,239900.0,51724.51666666667,6.905809968847352,6:54 min/km
719.5957,,2922250,2018-01-27 05:33:27.790,,,2.9470568,163.34576,,7210.0,719.0,175.1326,,2.4683328,2018-01-27 06:22:41.537,,,,2018-01-27,05:33:27,2018-01-27,,,,,,,,-21.7642,-43.3503,72100.0,251300.0,48704.166666666664,6.755085529357373,6:45 min/km
1052.0596,,4145489,2018-01-28 05:40:42.873,,,2.9106176,166.43277,,10350.0,1052.0,176.7649,,2.4969842,2018-01-28 06:49:52.091,,,,2018-01-28,05:40:42,2018-01-28,,,,,,,,-21.7642,-43.3503,103500.0,327600.0,69091.48333333334,6.675505636070854,6:40 min/km
634.139,,3023023,2018-01-30 05:26:50.762,,,3.2579076,152.79793,,7260.0,634.0,179.9542,,2.4023826,2018-01-30 06:17:21.416,20.0,100.0,8.0,2018-01-30,05:26:50,2018-01-30,,,,,20.0,8.0,100.0,-21.78447,-43.361786,72600.0,323100.0,50383.71666666667,6.9399058769513315,6:56 min/km
612.0794,,2322880,2018-01-31 06:44:18.317,,,2.8994112,168.31268,,6070.0,612.0,180.82559,,2.615252,2018-01-31 07:23:05.971,17.0,92.0,8.0,2018-01-31,06:44:18,2018-01-31,,,,,17.0,8.0,92.0,-21.7778,-43.369976,60700.0,383800.0,38714.666666666664,6.378034047226798,6:22 min/km
638.99286,,2953993,2018-02-01 05:26:12.150,,,5.0,154.81096,,7070.0,638.0,182.51823,,2.395798,2018-02-01 06:16:16.907,16.0,100.0,8.0,2018-02-01,05:26:12,2018-02-01,,,,,16.0,8.0,100.0,-21.784302,-43.36142,70700.0,379600.0,49233.21666666667,6.963679867986799,6:57 min/km
