Valor Real,Predição,Erro Absoluto
1208036.0,833967.5733470236,374068.4266529764
1093779.0,833965.0165610497,259813.98343895026
94239.0,833957.4915791283,739718.4915791283
1222000.0,833965.1672101591,388034.8327898409
2810639.0,833966.0445815731,1976672.955418427
2810639.0,833966.0060014612,1976672.9939985387
615491.0,833965.7482665505,218474.74826655048
615491.0,833967.8643477664,218476.8643477664
58465.0,833962.0860821336,775497.0860821336
58465.0,833964.1715728962,775499.1715728962
1209356.0,833966.3037011479,375389.6962988521
1209356.0,833968.0256307815,375387.97436921846
1218271.0,833965.1111228098,384305.8888771902
3001412.0,833966.7856233794,2167445.2143766205
3001412.0,833967.0669691132,2167444.9330308866
1217117.0,833964.9617322552,383152.0382677448
1206563.0,833975.7403543608,372587.2596456392
1208511.0,833965.788722929,374545.21127707104
1191628.0,833964.4788220811,357663.5211779189
909600.0,833965.1942431044,75634.80575689557
1207867.0,833965.5653257488,373901.43467425124
299856.0,833945.0828077131,534089.0828077131
1089775.0,833965.1015324574,255809.8984675426
1206273.0,833966.3347119468,372306.6652880532
1211215.0,833966.0487910167,377248.9512089833
614187.0,833965.9096116931,219778.90961169312
614187.0,833967.8452365152,219780.84523651516
1216512.0,833965.0521247679,382546.9478752321
1216512.0,833966.8947627029,382545.10523729713
1199973.0,833966.6592353057,366006.34076469427
1199973.0,833967.5885968193,366005.4114031807
1202395.0,833966.9883044976,368428.01169550244
1202395.0,833966.735415783,368428.264584217
1202395.0,833967.0910251018,368427.90897489816
917460.0,833965.5753287908,83494.42467120918
1745565.0,833965.9546254353,911599.0453745647
1745565.0,833967.6090248999,911597.3909751001
789161.0,833968.1696984034,44807.16969840345
1214499.0,833966.3658363647,380532.6341636353
1214499.0,833967.2669924505,380531.73300754954
1217110.0,833975.3811411998,383134.61885880015
1644303.0,833966.028921235,810336.971078765
1644303.0,833967.6146128726,810335.3853871274
1213903.0,833965.1778038271,379937.8221961729
1227952.0,833975.1567391315,393976.84326086845
1227952.0,833974.7801194994,393977.2198805006
847517.0,833965.3250789827,13551.674921017257
1237499.0,833965.299578607,403533.70042139303
1220790.0,833975.8303546963,386814.16964530374
884885.0,833965.8118531237,50919.18814687629
